Entity,Code,Year,Annual COâ‚‚ emissions
Afghanistan,AFG,2021,11874211.0
Albania,ALB,2021,4619109.0
Algeria,DZA,2021,176269070.0
Andorra,AND,2021,452888.0
Angola,AGO,2021,21362716.0
Anguilla,AIA,2021,144744.0
Antigua and Barbuda,ATG,2021,468695.0
Argentina,ARG,2021,186448290.0
Armenia,ARM,2021,6806045.0
Aruba,ABW,2021,858126.0
Australia,AUS,2021,391187420.0
Austria,AUT,2021,64625588.0
Azerbaijan,AZE,2021,38492804.0
Bahamas,BHS,2021,2386463.0
Bahrain,BHR,2021,39016090.0
Bangladesh,BGD,2021,93175944.0
Barbados,BRB,2021,1125301.0
Belarus,BLR,2021,59602456.0
Belgium,BEL,2021,95722280.0
Belize,BLZ,2021,689321.0
Benin,BEN,2021,7755815.0
Bermuda,BMU,2021,547960.0
Bhutan,BTN,2021,1522086.0
Bolivia,BOL,2021,23321668.0
Bonaire Sint Eustatius and Saba,BES,2021,103389.0
Bosnia and Herzegovina,BIH,2021,13566311.0
Botswana,BWA,2021,6499919.0
Brazil,BRA,2021,488881100.0
British Virgin Islands,VGB,2021,158529.0
Brunei,BRN,2021,10480519.0
Bulgaria,BGR,2021,42560212.0
Burkina Faso,BFA,2021,5698262.0
Burundi,BDI,2021,692908.0
Cambodia,KHM,2021,19028598.0
Cameroon,CMR,2021,9297284.0
Canada,CAN,2021,545634500.0
Cape Verde,CPV,2021,667694.0
Central African Republic,CAF,2021,227296.0
Chad,TCD,2021,1939918.0
Chile,CHL,2021,85446920.0
China,CHN,2021,11472369000.0
Colombia,COL,2021,91703380.0
Comoros,COM,2021,298171.0
Congo,COG,2021,7464369.0
Cook Islands,COK,2021,91403.0
Costa Rica,CRI,2021,7819507.0
Cote d'Ivoire,CIV,2021,11706642.0
Croatia,HRV,2021,17701450.0
Cuba,CUB,2021,22057330.0
Curacao,CUW,2021,1843765.0
Cyprus,CYP,2021,7600422.0
Czechia,CZE,2021,97138330.0
Democratic Republic of Congo,COD,2021,2606688.0
Denmark,DNK,2021,29576956.0
Djibouti,DJI,2021,379178.0
Dominica,DMA,2021,158529.0
Dominican Republic,DOM,2021,28922094.0
East Timor,TLS,2021,736328.0
Ecuador,ECU,2021,41321736.0
Egypt,EGY,2021,249624140.0
El Salvador,SLV,2021,7204384.0
Equatorial Guinea,GNQ,2021,5224788.0
Eritrea,ERI,2021,820601.0
Estonia,EST,2021,10449021.0
Eswatini,SWZ,2021,1087219.0
Ethiopia,ETH,2021,17792552.0
Faroe Islands,FRO,2021,698346.0
Fiji,FJI,2021,1470402.0
Finland,FIN,2021,37602330.0
France,FRA,2021,305963700.0
French Guiana,GUF,2021,651382.0
French Polynesia,PYF,2021,949800.0
Gabon,GAB,2021,5712477.0
Gambia,GMB,2021,655699.0
Georgia,GEO,2021,11009796.0
Germany,DEU,2021,674753540.0
Ghana,GHA,2021,21312802.0
Greece,GRC,2021,56309280.0
Greenland,GRL,2021,510658.97
Grenada,GRD,2021,319210.0
Guadeloupe,GLP,2021,2291068.0
Guatemala,GTM,2021,20327104.0
Guinea,GIN,2021,4841779.0
Guinea-Bissau,GNB,2021,351839.0
Guyana,GUY,2021,3087826.0
Haiti,HTI,2021,2875923.0
Honduras,HND,2021,10897812.0
Hong Kong,HKG,2021,31664380.0
Hungary,HUN,2021,48454620.0
Iceland,ISL,2021,3374964.0
India,IND,2021,2709683700.0
Indonesia,IDN,2021,619277500.0
Iran,IRN,2021,748878700.0
Iraq,IRQ,2021,185580690.0
Ireland,IRL,2021,37540330.0
Israel,ISR,2021,54528532.0
Italy,ITA,2021,328687330.0
Jamaica,JAM,2021,7689743.0
Japan,JPN,2021,1067398460.0
Jordan,JOR,2021,25593718.0
Kazakhstan,KAZ,2021,276683460.0
Kenya,KEN,2021,19875402.0
Kiribati,KIR,2021,71533.0
Kosovo,OWID_KOS,2021,5644358.0
Kuwait,KWT,2021,106134264.0
Kyrgyzstan,KGZ,2021,9308101.0
Laos,LAO,2021,20777500.0
Latvia,LVA,2021,7266214.0
Lebanon,LBN,2021,24958900.0
Lesotho,LSO,2021,2282165.0
Liberia,LBR,2021,1195260.0
Libya,LBY,2021,74525080.0
Liechtenstein,LIE,2021,150950.0
Lithuania,LTU,2021,13880837.0
Luxembourg,LUX,2021,8354555.0
Macao,MAC,2021,1286771.0
Madagascar,MDG,2021,4244355.0
Malawi,MWI,2021,1552193.0
Malaysia,MYS,2021,256048940.0
Maldives,MDV,2021,2118174.0
Mali,MLI,2021,4169757.8
Malta,MLT,2021,1724154.0
Marshall Islands,MHL,2021,158962.0
Martinique,MTQ,2021,2100146.0
Mauritania,MRT,2021,4118111.2
Mauritius,MUS,2021,4471674.0
Mayotte,MYT,2021,273281.0
Mexico,MEX,2021,407205060.0
Micronesia (country),FSM,2021,158962.0
Moldova,MDA,2021,5601510.0
Mongolia,MNG,2021,50315916.0
Montenegro,MNE,2021,1751386.0
Montserrat,MSR,2021,20678.0
Morocco,MAR,2021,70577660.0
Mozambique,MOZ,2021,7156209.0
Myanmar,MMR,2021,36306760.0
Namibia,NAM,2021,4014822.0
Nauru,NRU,2021,59611.0
Nepal,NPL,2021,14173067.0
Netherlands,NLD,2021,141045420.0
New Caledonia,NCL,2021,5496273.0
New Zealand,NZL,2021,33789824.0
Nicaragua,NIC,2021,5059770.0
Niger,NER,2021,2698898.0
Nigeria,NGA,2021,136986780.0
Niue,NIU,2021,11922.0
North Korea,PRK,2021,56380104.0
North Macedonia,MKD,2021,6851552.0
Norway,NOR,2021,40918550.0
Oman,OMN,2021,80991180.0
Pakistan,PAK,2021,229512380.0
Palau,PLW,2021,238444.0
Palestine,PSE,2021,3092231.0
Panama,PAN,2021,13031620.0
Papua New Guinea,PNG,2021,8509555.0
Paraguay,PRY,2021,8576565.0
Peru,PER,2021,56282000.0
Philippines,PHL,2021,144263870.0
Poland,POL,2021,328579780.0
Portugal,PRT,2021,40797216.0
Qatar,QAT,2021,95667180.0
Reunion,REU,2021,4102958.2
Romania,ROU,2021,79326856.0
Russia,RUS,2021,1755547400.0
Rwanda,RWA,2021,1754532.0
Saint Helena,SHN,2021,13785.0
Saint Kitts and Nevis,KNA,2021,237794.0
Saint Lucia,LCA,2021,485927.0
Saint Pierre and Miquelon,SPM,2021,62033.0
Saint Vincent and the Grenadines,VCT,2021,213670.0
Samoa,WSM,2021,294080.0
Sao Tome and Principe,STP,2021,131978.0
Saudi Arabia,SAU,2021,672379900.0
Senegal,SEN,2021,13597910.0
Serbia,SRB,2021,30868986.0
Seychelles,SYC,2021,568279.0
Sierra Leone,SLE,2021,1299404.0
Singapore,SGP,2021,32506890.0
Sint Maarten (Dutch part),SXM,2021,647902.0
Slovakia,SVK,2021,35308216.0
Slovenia,SVN,2021,12549330.0
Solomon Islands,SLB,2021,317925.0
Somalia,SOM,2021,610374.0
South Africa,ZAF,2021,435928900.0
South Korea,KOR,2021,616075000.0
South Sudan,SSD,2021,1582060.0
Spain,ESP,2021,233649540.0
Sri Lanka,LKA,2021,20780910.0
Sudan,SDN,2021,21038216.0
Suriname,SUR,2021,2793206.0
Sweden,SWE,2021,35848948.0
Switzerland,CHE,2021,34931692.0
Syria,SYR,2021,27000770.0
Taiwan,TWN,2021,282856060.0
Tajikistan,TJK,2021,10336408.0
Tanzania,TZA,2021,13058865.0
Thailand,THA,2021,278495700.0
Togo,TGO,2021,2342020.0
Tonga,TON,2021,174859.0
Trinidad and Tobago,TTO,2021,36124040.0
Tunisia,TUN,2021,31582746.0
Turkey,TUR,2021,446204200.0
Turkmenistan,TKM,2021,83006810.0
Turks and Caicos Islands,TCA,2021,341183.0
Tuvalu,TUV,2021,7948.0
Uganda,UGA,2021,5780464.0
Ukraine,UKR,2021,201857710.0
United Arab Emirates,ARE,2021,204086660.0
United Kingdom,GBR,2021,346773200.0
United States,USA,2021,5007336000.0
Uruguay,URY,2021,6737872.0
Uzbekistan,UZB,2021,121631480.0
Vanuatu,VUT,2021,174859.0
Venezuela,VEN,2021,79746600.0
Vietnam,VNM,2021,326013660.0
Wallis and Futuna,WLF,2021,27818.0
World,OWID_WRL,2021,37123850000.0
Yemen,YEM,2021,12476597.0
Zambia,ZMB,2021,7676180.0
Zimbabwe,ZWE,2021,11296114.0
