Entity,Annual COâ‚‚ emissions
Afghanistan,217993073.44
Africa,49133684338.0
Africa (GCP),49145709864.0
Albania,293838988.12
Algeria,4862566810.6
Andorra,15484491.97
Angola,657115496.0
Anguilla,3588390.01
Antarctica,153888.0
Antigua and Barbuda,22002452.02
Argentina,8636500123.9
Armenia,383291251.52998
Aruba,76865885.0
Asia,557596537847.0
Asia (GCP),485793781234.08203
Asia (excl. China and India),251138336263.0
Australia,18968830915.9
Austria,5571699466.51
Azerbaijan,2530484030.41
Bahamas,171632128.31
Bahrain,972274787.56
Bangladesh,1650250273.0
Barbados,56109579.99
Belarus,5007976460.85994
Belgium,12644150403.0
Belize,19832842.97
Benin,119036123.04
Bermuda,29503653.01
Bhutan,19719251.01
Bolivia,577560748.86
Bonaire Sint Eustatius and Saba,8627394.004
Bosnia and Herzegovina,964361839.556
Botswana,156470719.8
Brazil,16672437981.2
British Virgin Islands,5673856.01
Brunei,371266423.1
Bulgaria,3873285021.0
Burkina Faso,74568785.03
Burundi,13826947.98
Cambodia,185279948.0
Cameroon,242587198.99
Canada,34115395464.4
Cape Verde,15299405.0
Central African Republic,10814322.02
Central America (GCP),7583602952.91
Chad,36604563.19
Chile,2996751975.6
China,249352817364.0
Christmas Island,1330032.0
Colombia,3503543594.8
Comoros,5629648.0
Congo,110436280.09
Cook Islands,2437369.0
Costa Rica,261265703.94
Cote d'Ivoire,347681955.3
Croatia,1118098647.07
Cuba,1636841056.0
Curacao,575620430.0
Cyprus,301471096.2
Czechia,12076990632.1
Democratic Republic of Congo,195405109.94
Denmark,4115088221.0
Djibouti,19240470.97
Dominica,4981360.0
Dominican Republic,776145150.56
East Timor,9277639.0
Ecuador,1249648352.56
Egypt,6667727807.0
El Salvador,239956241.0
Equatorial Guinea,147286982.01
Eritrea,18823448.0
Estonia,1640459380.94
Eswatini,41989587.0
Ethiopia,280639086.44
Europe,537244200202.0
Europe (GCP),532852242700.0
Europe (excl. EU-27),244052556132.0
Europe (excl. EU-28),165543835034.0
European Union (27),293191645256.0
European Union (27) (GCP),292381487564.0
European Union (28),371700364818.0
Faroe Islands,31347382.97
Fiji,49743048.06
Finland,3226028844.03
France,39105764838.1
French Equatorial Africa (GCP),2660064.02
French Guiana,28186343.94
French Polynesia,30713368.0
French West Africa (GCP),9764956.0
Gabon,274275945.54
Gambia,14950925.97
Georgia,671612173.981
Germany,93290503701.8
Ghana,398073425.06
Greece,4132680515.2
Greenland,33547214.94
Grenada,8570705.94
Guadeloupe,86180821.92
Guatemala,462048159.2
Guinea,92929341.18
Guinea-Bissau,10497078.0
Guyana,104900190.07
Haiti,78549650.08
High-income countries,988639203400.0
Honduras,272033881.5
Hong Kong,1652054463.0
Hungary,5058661506.0
Iceland,155319240.0
India,57105388780.5
Indonesia,14933863847.8
International transport,43062671820.0
Iran,19546580759.28
Iraq,4777052417.8
Ireland,2263348863.52
Israel,2428609352.8
Italy,25065176028.2
Jamaica,459888969.7
Japan,66711082981.5
Jordan,726420792.94
Kazakhstan,14219758531.902
Kenya,491164018.8
Kiribati,2167332.0
Kosovo,111306104.0
Kuwait,3488381534.0
Kuwaiti Oil Fires (GCP),477924830.0
Kyrgyzstan,848594991.87001
Laos,174804333.98
Latvia,960503277.35
Lebanon,756119153.6
Leeward Islands (GCP),179536.0
Lesotho,66182961.8
Liberia,53784713.08
Libya,2222006488.0
Liechtenstein,6265889.0
Lithuania,1575839870.236
Low-income countries,10246075064.0
Lower-middle-income countries,172203497549.0
Luxembourg,761954187.5
Macao,57860080.99
Madagascar,101225974.98
Malawi,52107812.94
Malaysia,6301489413.31
Maldives,27453037.97
Mali,68230790.77
Malta,105585988.92
Marshall Islands,3574604.01
Martinique,90481358.2
Mauritania,80759760.17
Mauritius,120600571.02
Mayotte,6779514.02
Mexico,20587507374.06
Micronesia (country),4446636.0
Middle East (GCP),71527601138.98
Moldova,1341734069.734
Mongolia,753727358.7
Montenegro,105345679.97
Montserrat,1607640.0
Morocco,1809254105.298
Mozambique,183135874.66
Myanmar,642667150.76
Namibia,78960965.9
Nauru,4917457.0
Nepal,174737650.01
Netherlands,11879457613.3
New Caledonia,155170083.1
New Zealand,1916907674.27
Nicaragua,181367361.9
Niger,51518619.04
Nigeria,4008988301.2
Niue,301987.0
Non-OECD (GCP),732960919223.91
North America,484214697999.98
North America (GCP),476476506686.0
North America (excl. USA),62307841274.4
North Korea,5172172641.1
North Macedonia,642474377.044
Norway,2672221886.08
OECD (GCP),956343912440.0
Oceania,21361656730.0
Oceania (GCP),21179780218.9
Oman,1404168105.5
Pakistan,5273938325.0
Palau,10813938.98
Palestine,62938044.04
Panama,324127872.0
Panama Canal Zone (GCP),14762256.06
Papua New Guinea,183206426.87
Paraguay,186635946.73
Peru,1995778899.1
Philippines,3535601453.0
Poland,28196094619.8
Portugal,2656068287.9
Puerto Rico,208848.0
Qatar,2155058679.97
Reunion,127908929.2
Romania,8647110784.0
Russia,117547631829.0
Rwanda,32032761.88
Ryukyu Islands (GCP),20892774.0
Saint Helena,400026.0
Saint Kitts and Nevis,6594512.99
Saint Lucia,14872205.95
Saint Pierre and Miquelon,3753031.0
Saint Vincent and the Grenadines,7156714.99
Samoa,7142465.0
Sao Tome and Principe,3510008.01
Saudi Arabia,16705824633.0
Senegal,260699516.0
Serbia,2804101735.0
Seychelles,14102871.0
Sierra Leone,38606675.83
Singapore,2101495029.8
Sint Maarten (Dutch part),70289267.044
Slovakia,3934302808.1
Slovenia,864577509.796
Solomon Islands,10758249.02
Somalia,33488680.09
South Africa,21465099894.0
South America,44267540618.0
South America (GCP),44267540413.2009
South Korea,18927931677.02
South Sudan,40672144.02
Spain,15100202509.6
Sri Lanka,521046906.0
St. Kitts-Nevis-Anguilla (GCP),622880.0
Sudan,473841555.97
Suriname,117281827.9
Sweden,5026540348.41
Switzerland,3059691935.0
Syria,1888237038.1
Taiwan,9319122480.5
Tajikistan,487571127.51
Tanzania,259240005.84
Thailand,7783364318.998
Togo,68293317.12
Tonga,4569601.01
Trinidad and Tobago,1608577869.06
Tunisia,938315815.99
Turkey,11340784235.67
Turkmenistan,2501110216.71
Turks and Caicos Islands,6436343.98
Tuvalu,286818.0
Uganda,112415493.06
Ukraine,30784732478.06
United Arab Emirates,5101479462.0
United Kingdom,78508720082.0
United States,421906856549.98
Upper-middle-income countries,522373966799.0
Uruguay,378346696.1
Uzbekistan,6346993025.4
Vanuatu,4895697.0
Venezuela,7819967878.0
Vietnam,4623865519.06
Wallis and Futuna,773031.0
World,1736930050960.0
Yemen,651596744.5
Zambia,257661625.2
Zimbabwe,798217132.61
